,target
Activin_A,INHBA
BDNF,BDNF
BMP2,BMP2
BMP2,BMP2A
BMP4,BMP4
BMP4,BMP2B
BMP4,DVR4
BMP6,BMP6
BMP6,VGR
CD40L,CD40L
CD40L,CD40LG
CD40L,TRAP
CD40L,TNFSF5
CXCL12,CXCL12
CXCL12,SDF1
CXCL12,SDF1A
CXCL12,SDF1B
EGF,EGF
FGF2,FGF2
FGF2,FGFB
GCSF,GCSF
GCSF,CSF3
GCSF,C17orf33
GDF11,GDF11
GDF11,BMP11
GMCSF,CSF2
GMCSF,GMCSF
HGF,HGF
HGF,HPTA
IFN1,IFNA1
IFN1,IFNA2
IFN1,IFNA4
IFN1,IFNA5
IFN1,IFNA6
IFN1,IFNA7
IFN1,IFNA8
IFN1,IFNA10
IFN1,IFNA13
IFN1,IFNA14
IFN1,IFNA16
IFN1,IFNA17
IFN1,IFNA21
IFN1,IFNB1
IFN1,IFB
IFN1,IFNB
IFNG,IFNG
IFNL,IFNL1
IFNL,IL29
IFNL,ZCYTO21
IFNL,IFNL2
IFNL,IL28A
IFNL,ZCYTO20
IFNL,IFNL3
IFNL,IL28B
IFNL,IL28C
IFNL,ZCYTO22
IFNL,IFNL4
IL10,IL10
IL12,IL12A
IL12,IL12B
IL12,NKSF1
IL12,NKSF2
IL13,IL13
IL13,NC30
IL15,IL15
IL17A,IL17A
IL17A,IL17
IL17A,CTLA8
IL1A,IL1A
IL1A,IL1F1
IL1B,IL1B
IL1B,IL1F2
IL2,IL2
IL21,IL21
IL22,IL22
IL22,ILTIF
IL22,ZCYTO18
IL27,IL27
IL27,IL27A
IL27,IL30
IL27,IL27B
IL27,EBI3
IL3,IL3
IL36,IL36A
IL36,FIL1E
IL36,IL1E
IL36,IL1F6
IL36,IL36B
IL36,IL1F8
IL36,IL1H2
IL4,IL4
IL6,IL6
IL6,IFNB2
LIF,LIF
LIF,HILDA
LTA,LTA
LTA,TNFB
LTA,TNFSF1
MCSF,CSF1
OSM,OSM
TGFB1,TGFB1
TGFB1,TGFB
TGFB3,TGFB3
TNFA,TNF
TNFA,TNFA
TNFA,TNFSF2
TRAIL,TRAIL
TRAIL,TNFSF10
TRAIL,APO2L
TWEAK,TNFSF12
TWEAK,APO3L
TWEAK,DR3LG
VEGFA,VEGFA
VEGFA,VEGF
WNT3A,WNT3A
